car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarCompany
194,0,0,0,1,3,1,0,100.4,183.1,66.9,55.1,2563,2,0,109,0,3.19,3.4,9.0,88,5500,25,31,12290.0,25
195,-2,0,0,1,2,0,0,104.3,188.8,67.2,56.2,2912,2,0,141,0,3.78,3.15,9.5,114,5400,23,28,12940.0,27
196,-1,0,0,1,3,0,0,104.3,188.8,67.2,57.5,3034,2,0,141,0,3.78,3.15,9.5,114,5400,23,28,13415.0,27
197,-2,0,0,1,2,0,0,104.3,188.8,67.2,56.2,2935,2,0,141,0,3.78,3.15,9.5,114,5400,24,28,15985.0,27
198,-1,0,0,1,3,0,0,104.3,188.8,67.2,57.5,3042,2,0,141,0,3.78,3.15,9.5,114,5400,24,28,16515.0,27
199,-2,0,1,1,2,0,0,104.3,188.8,67.2,56.2,3045,2,0,130,0,3.62,3.15,7.5,162,5100,17,22,18420.0,27
200,-1,0,1,1,3,0,0,104.3,188.8,67.2,57.5,3157,2,0,130,0,3.62,3.15,7.5,162,5100,17,22,18950.0,27
201,-1,0,0,1,2,0,0,109.1,188.8,68.9,55.5,2952,2,0,141,0,3.78,3.15,9.5,114,5400,23,28,16845.0,27
202,-1,0,1,1,2,0,0,109.1,188.8,68.8,55.5,3049,2,0,141,0,3.78,3.15,8.7,160,5300,19,25,19045.0,27
203,-1,0,0,1,2,0,0,109.1,188.8,68.9,55.5,3012,1,1,173,0,3.58,2.87,8.8,134,5500,18,23,21485.0,27
204,-1,1,1,1,2,0,0,109.1,188.8,68.9,55.5,3217,2,1,145,6,3.01,3.4,23.0,106,4800,26,27,22470.0,27
205,-1,0,1,1,2,0,0,109.1,188.8,68.9,55.5,3062,2,0,141,0,3.78,3.15,9.5,114,5400,19,25,22625.0,27
